longitude,latitude,No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2),No2_value(mol/m^2)
77.296,28.531,-3.1800111628399463e-06,9.25226413528435e-06,5.372718078433536e-06,1.0176687283092178e-05
77.306,28.531,6.086615394451656e-05,,0.0001771022361936,2.546840505601722e-06
77.316,28.531,6.943841435713693e-05,9.935011803463569e-06,0.0001932879822561,8.321606401295867e-06
77.327,28.531,1.5524854461546056e-05,1.0122671483259182e-05,7.725216710241511e-05,1.4436519450100604e-05
76.87,28.541,1.1593933777476195e-06,,5.498588961927453e-06,1.4249530067900196e-05
76.88,28.541,1.0862970611924538e-06,-2.169105027860496e-05,2.395457704551518e-05,2.5972207367885854e-05
76.891,28.541,7.197036757133901e-05,,2.45941319008125e-05,2.1743904653703797e-05
76.901,28.541,2.1406974610727048e-06,-2.895919169532135e-05,5.0430899136699736e-05,2.181397212552838e-05
76.911,28.541,4.4594027713174e-05,3.388989352970384e-05,9.7656911748345e-06,3.88870103051886e-06
76.922,28.541,6.076454519643448e-05,-1.6332858649548143e-05,,3.887477214448154e-05
76.932,28.541,3.179075793013908e-05,2.797098204609938e-05,0.0002044164139078,1.6104213500511833e-05
76.943,28.541,5.5157277529360726e-05,-7.551689122919923e-06,1.5949024600558914e-05,3.8079995192674687e-06
76.953,28.541,3.1779848086443963e-06,3.322307384223677e-05,2.069572656182572e-05,1.0121210834768137e-05
76.963,28.541,1.908705962705426e-05,-3.310598913230933e-05,9.422461153008044e-05,2.430303538858425e-05
76.974,28.541,3.904546247213148e-05,2.0258173663023622e-06,2.2012753106537275e-05,1.4989005649113096e-05
76.984,28.541,4.1286126361228526e-05,-3.61897332368244e-06,-3.413794274820248e-06,1.458873953197326e-06
76.994,28.541,-7.457181823156134e-07,-4.870454631600296e-06,-1.7031328525263237e-07,-2.1349374037527014e-06
77.005,28.541,3.551140480340109e-06,-2.028259405051358e-05,2.861856501112925e-06,1.689052805886604e-05
77.015,28.541,0.0002077835379168,,,2.456690344843082e-05
77.026,28.541,4.523437382886186e-05,,1.3384253179538064e-05,7.113222181942547e-06
77.036,28.541,5.0879523769253865e-05,3.823103907052428e-05,1.5012612493592314e-05,1.1656263268378098e-05
77.046,28.541,3.465234476607293e-05,1.1881747923325747e-05,-4.936762252327753e-06,5.899844836676493e-06
77.057,28.541,5.7073008065344766e-05,3.165892121614888e-05,4.106703636352904e-05,9.703022442408836e-06
77.067,28.541,8.33943922771141e-05,-1.7968066458706744e-05,0.0001302096497965,7.645798177691177e-06
77.078,28.541,5.607959792541806e-06,,1.331610565102892e-05,2.5579854991519824e-05
77.088,28.541,8.768116094870493e-05,3.34107389790006e-05,0.0003175311139784,9.358924216940068e-06
77.098,28.541,1.2557970876514446e-05,-1.0368891025791529e-06,8.98726939340122e-05,8.644561603432521e-06
77.109,28.541,0.0001033709413604,1.7650506833888358e-06,2.410019988019485e-05,1.4079136235523038e-05
77.119,28.541,8.14329814602388e-06,1.7505193454780963e-06,1.5484803952858783e-05,2.226026299467776e-05
77.129,28.541,6.998048047535121e-05,3.191953965142602e-06,1.6499398043379188e-05,1.897659240057692e-05
77.14,28.541,2.134923306584824e-06,-2.054232027148828e-05,1.7584170564077795e-05,1.5876195902819745e-05
77.15,28.541,1.4671242752228864e-05,5.33652855665423e-05,0.0001269278000108,1.0043810107163154e-05
77.161,28.541,9.485924965701996e-05,2.1316778656910174e-05,8.590673678554595e-05,2.1375604774220847e-05
77.171,28.541,1.7331753952021245e-06,5.317978138918989e-05,8.788043487584218e-06,1.7417809431208298e-05
77.181,28.541,5.340847565094009e-05,,0.0002102738799294,-2.769822458503768e-06
77.192,28.541,2.196294190071057e-06,4.940691269439412e-06,4.19243224314414e-05,1.6439505998278037e-05
77.202,28.541,1.8855304006137885e-05,,0.0001159150124294,8.711339432920795e-06
77.213,28.541,1.7875503544928506e-05,-2.340689934499096e-05,,2.4919136194512248e-05
